timestamp,load_p,pv_p,buy_price,Selling_price_eur_kwh,load_forecast,P_battery,P_grid,SoC
2026-03-01 00:00:00,1.934636666666667,0.0,0.244,0.10304,1.9174,1.9174,0.0172,0.4684
2026-03-01 00:15:00,1.968086666666667,0.0,0.244,0.10931,1.9374,1.9374,0.0307,0.4365
2026-03-01 00:30:00,1.512046666666666,0.0,0.244,0.11015,2.0235,2.0235,-0.5114,0.4032
2026-03-01 00:45:00,1.63518,0.0,0.244,0.1023,1.613,1.613,0.0221,0.3766
2026-03-01 01:00:00,1.714956666666667,0.0,0.244,0.10931,1.5872,1.5872,0.1277,0.3505
2026-03-01 01:15:00,1.100096666666667,0.0,0.244,0.10517,1.6157,1.6157,-0.5156,0.3239
2026-03-01 01:30:00,1.394636666666667,0.0,0.244,0.10274,1.4616,1.4616,-0.0669,0.2998
2026-03-01 01:45:00,1.96784,0.0,0.244,0.10278,2.6452,2.6452,-0.6774,0.2562
2026-03-01 02:00:00,1.542786666666667,0.0,0.244,0.104,2.4071,2.4071,-0.8643,0.2166
2026-03-01 02:15:00,1.45488,0.0,0.244,0.10278,1.8836,1.8836,-0.4287,0.1856
2026-03-01 02:30:00,2.044226666666667,0.0,0.244,0.1024,1.894,1.894,0.1503,0.1544
2026-03-01 02:45:00,2.08461,0.0,0.244,0.10138,2.1344,2.1344,-0.0498,0.1192
2026-03-01 03:00:00,2.023423333333334,0.0,0.244,0.1,2.0614,2.0614,-0.038,0.0853
2026-03-01 03:15:00,1.995103333333333,0.0,0.244,0.10025,1.9457,1.9457,0.0494,0.0532
2026-03-01 03:30:00,1.90579,0.0,0.244,0.0995,1.933,0.1949,1.7109,0.05
2026-03-01 03:45:00,1.326003333333333,0.0,0.244,0.09618,1.8272,0.0,1.326,0.05
2026-03-01 04:00:00,1.312836666666667,0.0,0.244,0.09618,1.456,0.0,1.3128,0.05
2026-03-01 04:15:00,0.8905633333333332,0.0,0.244,0.09869,1.4677,0.0,0.8906,0.05
2026-03-01 04:30:00,0.9261533333333333,0.0,0.244,0.09618,1.2905,0.0,0.9262,0.05
2026-03-01 04:45:00,1.49482,0.0,0.244,0.09618,1.1968,0.0,1.4948,0.05
2026-03-01 05:00:00,1.341966666666667,0.0,0.244,0.10245,1.448,0.0,1.342,0.05
2026-03-01 05:15:00,1.40878,0.0,0.244,0.10136,1.395,0.0,1.4088,0.05
2026-03-01 05:30:00,1.04825,0.0,0.244,0.1027,1.3743,0.0,1.0482,0.05
2026-03-01 05:45:00,1.116666666666667,0.0,0.244,0.10141,1.2875,0.0,1.1167,0.05
2026-03-01 06:00:00,1.217,0.0,0.244,0.10223,1.2751,0.0,1.217,0.05
2026-03-01 06:15:00,1.071,0.0,0.244,0.10238,1.381,0.0,1.071,0.05
2026-03-01 06:30:00,0.9296666666666666,0.0,0.244,0.10308,1.2029,0.0,0.9297,0.05
2026-03-01 06:45:00,1.561,0.0,0.244,0.10238,1.1751,-0.0,1.561,0.05
2026-03-01 07:00:00,1.399,0.0,0.244,0.10632,1.4276,0.0,1.399,0.05
